geneId,diseaseId,score,ei,el,yearInitial,yearFinal,g_source
1131,C0033770,0.65,1.00,NULL,2011,2019,ALL
1137,C1838049,0.70,1.00,NULL,1995,2003,ALL
1147,C3150891,0.92,1.00,NULL,1999,2015,ALL
1161,C0009207,0.80,0.98,strong,1996,2020,ALL
1161,C0751039,0.80,1.00,NULL,1995,2019,ALL
1161,C1833561,0.62,1.00,strong,2009,2017,ALL
1161,C3553298,0.60,1.00,NULL,2009,2009,ALL
1180,C0027127,0.90,0.97,NULL,1982,2019,ALL
1180,C0751360,0.80,1.00,NULL,1992,2018,ALL
1180,C2936781,0.80,0.98,NULL,1992,2019,ALL
1184,C0403720,0.62,1.00,strong,1996,2013,ALL
1184,C0878681,0.90,0.95,NULL,1978,2019,ALL
1184,C1839874,0.70,1.00,strong,1997,2013,ALL
1184,C1845168,0.70,1.00,NULL,1996,2013,ALL
1184,C1848336,0.98,0.98,NULL,1996,2020,ALL
1200,C0022340,0.80,1.00,limited,1993,2019,ALL
1200,C0027877,0.70,0.97,NULL,1991,2019,ALL
1200,C0751383,0.60,1.00,NULL,1997,2019,ALL
1200,C1836474,0.71,1.00,NULL,2013,2013,ALL
1200,C1876161,1.00,1.00,NULL,1997,2019,ALL
1201,C0027877,0.70,0.96,NULL,1993,2019,ALL
1201,C0751383,1.00,0.99,NULL,1990,2019,ALL
1244,C0008370,0.80,0.96,strong,2000,2020,ALL
1244,C0022350,1.00,1.00,strong,1996,2020,ALL
1268,C0028754,0.60,0.98,NULL,2005,2020,ALL
1268,C0030193,0.60,1.00,NULL,2009,2020,ALL
1268,C0036341,0.60,0.95,NULL,2000,2019,ALL
1277,C0013720,0.60,1.00,strong,1991,2020,ALL
1277,C0020497,0.77,1.00,NULL,1993,2019,ALL
1277,C0023931,1.00,0.98,NULL,1988,2019,ALL
1277,C0029434,0.90,0.98,NULL,1985,2020,ALL
1277,C0029456,0.70,1.00,NULL,1996,2017,ALL
1277,C0268358,0.89,1.00,NULL,1986,2019,ALL
1277,C0268362,0.99,1.00,NULL,1989,2018,ALL
1277,C0268363,0.97,1.00,NULL,1989,2018,ALL
1277,C4551623,0.60,1.00,NULL,1991,2016,ALL
1278,C0023931,0.89,1.00,NULL,1982,2019,ALL
1278,C0029434,0.70,0.98,strong,1980,2020,ALL
1278,C0029456,0.67,1.00,strong,1985,2018,ALL
1278,C0268358,0.66,1.00,strong,1985,2011,ALL
1278,C0268362,0.95,1.00,strong,1991,2018,ALL
1278,C0268363,0.80,1.00,strong,1985,2015,ALL
1278,C1857034,0.60,1.00,NULL,2004,2011,ALL
1280,C0008925,0.64,1.00,strong,1991,2011,ALL
1280,C0023234,0.74,1.00,NULL,2007,2014,ALL
1280,C0220685,1.00,1.00,NULL,1988,2012,ALL
1280,C0265279,0.80,1.00,NULL,1989,2017,ALL
1280,C0410480,0.65,1.00,NULL,2005,2018,ALL
1280,C0432214,0.70,1.00,NULL,1990,2012,ALL
1280,C0542428,0.66,1.00,NULL,1988,2003,ALL
1280,C0700635,0.73,1.00,NULL,1989,2017,ALL
1280,C0796173,0.75,1.00,NULL,1989,2013,ALL
1280,C1835437,0.73,1.00,NULL,1989,2016,ALL
1280,C1836080,0.71,1.00,NULL,1989,2018,ALL
1280,C1836683,0.73,1.00,NULL,1993,2016,ALL
1280,C1851536,0.70,1.00,NULL,1998,2012,ALL
1280,C2020284,0.80,0.97,NULL,1987,2019,ALL
1280,C2745959,1.00,0.98,NULL,1989,2020,ALL
1280,C4225273,0.71,1.00,moderate,1991,2016,ALL
1280,C4520892,0.61,1.00,NULL,2005,2012,ALL
1280,C4551562,0.70,1.00,NULL,1989,2012,ALL
1281,C0268338,1.00,1.00,definitive,1980,2019,ALL
1281,C4707243,0.60,1.00,definitive,1988,2015,ALL
1282,C0266484,0.75,1.00,strong,2013,2019,ALL
1282,C0302892,0.60,1.00,NULL,1977,2020,ALL
1282,C1843512,0.82,1.00,NULL,2005,2013,ALL
1282,C1867327,0.70,1.00,NULL,2014,2014,ALL
1282,C1867983,0.83,1.00,NULL,1977,2016,ALL
1282,C2673195,0.77,0.91,NULL,2007,2019,ALL
1282,C3281105,0.60,1.00,NULL,2007,2012,ALL
1282,C4551998,0.90,1.00,NULL,1977,2018,ALL
1284,C3280970,0.60,1.00,NULL,2012,2018,ALL
1285,C0241908,0.80,1.00,NULL,1996,2019,ALL
1285,C0403440,0.60,1.00,strong,2001,2018,ALL
1285,C1567741,0.70,0.98,strong,1986,2020,ALL
1285,C1567742,0.60,1.00,strong,1994,2019,ALL
1285,C1567744,0.80,1.00,NULL,1994,2017,ALL
1285,C4746547,0.60,1.00,NULL,1997,2019,ALL
1285,C4746745,0.80,1.00,NULL,1994,2017,ALL
1286,C0241908,0.80,1.00,strong,1982,2018,ALL
1286,C0403440,0.60,1.00,strong,2001,2019,ALL
1286,C1567744,0.60,1.00,NULL,1997,2019,ALL
1286,C4746745,0.80,1.00,NULL,1994,2017,ALL
1287,C1567741,0.70,0.98,definitive,1990,2020,ALL
1287,C1567742,0.60,0.96,strong,1992,2020,ALL
1287,C4746986,0.90,1.00,strong,1991,2017,ALL
1294,C0079294,0.90,1.00,NULL,1992,2019,ALL
1294,C0079474,1.00,0.98,strong,1993,2020,ALL
1294,C0268371,0.60,1.00,strong,2002,2013,ALL
1294,C0432321,0.75,1.00,strong,1995,2018,ALL
1294,C0432322,0.78,1.00,strong,1989,2017,ALL
1294,C1275114,0.80,0.93,NULL,1999,2018,ALL
1294,C1843761,0.60,1.00,NULL,2002,2002,ALL
1294,C1851573,0.73,1.00,strong,1997,2013,ALL
1294,C2673611,0.60,1.00,NULL,1999,2009,ALL
1294,C2673612,0.60,1.00,NULL,1999,2009,ALL
1301,C0265235,0.73,1.00,NULL,1996,2014,ALL
1301,C0265282,0.63,1.00,strong,2010,2013,ALL
1301,C1858084,0.98,1.00,NULL,1971,2020,ALL
1301,C2020284,0.60,1.00,strong,1971,2017,ALL
1301,C3278138,0.60,1.00,NULL,1996,2010,ALL
1302,C1848488,0.82,1.00,definitive,1964,2015,ALL
1302,C1861481,0.60,1.00,NULL,2004,2004,ALL
1302,C1864746,0.71,1.00,NULL,1964,2015,ALL
1302,C1866095,0.93,1.00,NULL,1964,2016,ALL
1302,C4520892,1.00,1.00,definitive,1964,2015,ALL
1308,C0268374,0.70,1.00,strong,1996,2014,ALL
1308,C1852551,0.75,1.00,strong,2003,2019,ALL
1311,C0410538,1.00,0.97,NULL,1995,2019,ALL
1311,C1838280,0.74,1.00,NULL,1995,2016,ALL
1312,C0005586,0.70,1.00,NULL,1997,2019,ALL
1312,C0012236,0.60,0.93,NULL,1996,2008,ALL
1312,C0030193,0.60,0.96,NULL,2003,2020,ALL
1312,C0220704,0.60,0.90,NULL,1996,2012,ALL
1316,C0024623,0.66,1.00,NULL,2005,2019,ALL
1316,C0038356,0.61,1.00,NULL,2005,2005,ALL
1351,C0268237,0.75,1.00,NULL,1997,2016,ALL
1356,C0878682,0.90,1.00,NULL,1987,2019,ALL
1371,C0162531,1.00,0.94,strong,1983,2019,ALL
1373,C0751753,0.87,1.00,definitive,1986,2019,ALL
1373,C4082171,0.71,1.00,NULL,1993,2018,ALL
1374,C1829703,0.90,1.00,definitive,1981,2016,ALL
1376,C1833508,0.70,1.00,NULL,1992,2015,ALL
1376,C1833511,0.71,1.00,NULL,1992,2016,ALL
1376,C1833518,0.70,1.00,NULL,1998,2016,ALL
1380,C0009447,0.60,1.00,NULL,2009,2019,ALL
1380,C0024141,0.69,1.00,moderate,2006,2020,ALL
1387,C0023467,0.60,1.00,NULL,1996,2019,ALL
1387,C0035934,0.90,0.99,definitive,1997,2019,ALL
1387,C4551859,0.70,1.00,definitive,1997,2016,ALL
1392,C0010481,0.60,1.00,NULL,1992,2019,ALL
1392,C0011570,0.60,1.00,NULL,1992,2019,ALL
1392,C0011581,0.60,1.00,NULL,1992,2019,ALL
1392,C0041696,0.60,1.00,NULL,1992,2018,ALL
1394,C0011570,0.60,1.00,NULL,2004,2019,ALL
1394,C1269683,0.60,1.00,NULL,2006,2019,ALL
1401,C0003873,0.60,0.96,NULL,1989,2020,ALL
1401,C0020538,0.60,0.94,NULL,2003,2020,ALL
1401,C0021368,0.60,1.00,NULL,2001,2011,ALL
1401,C0028754,0.60,0.98,NULL,2001,2020,ALL
1401,C0151744,0.60,0.94,NULL,2000,2019,ALL
1406,C0035334,0.80,1.00,strong,1997,2018,ALL
1406,C0339527,0.80,0.96,strong,1998,2019,ALL
1406,C3151192,0.90,1.00,NULL,1998,2014,ALL
1406,C3489532,0.80,1.00,NULL,1997,2019,ALL
1410,C1837317,0.90,1.00,NULL,1998,2012,ALL
1410,C3151236,0.70,1.00,NULL,2011,2011,ALL
1410,C3554649,0.70,1.00,limited,2006,2017,ALL
1410,C3808377,0.80,1.00,NULL,2001,2013,ALL
1421,C0086543,0.70,0.96,strong,1999,2019,ALL
1421,C3540850,0.90,1.00,NULL,1999,2011,ALL
1436,C0006826,0.60,1.00,NULL,1992,2020,ALL
1436,C3711381,0.80,1.00,NULL,1989,2020,ALL
1441,C0023481,0.60,0.94,NULL,2013,2020,ALL
1441,C0543669,0.83,1.00,NULL,1998,2014,ALL
1441,C4310764,0.70,1.00,strong,2009,2015,ALL
1462,C1840452,0.70,0.94,NULL,1999,2018,ALL
1471,C1527338,0.77,1.00,NULL,1987,2013,ALL
1471,C2677774,0.60,1.00,NULL,1989,2009,ALL
1476,C0751785,1.00,0.98,NULL,1994,2019,ALL
1482,C0039685,0.96,0.91,NULL,1999,2018,ALL
1482,C0152101,0.81,1.00,NULL,2003,2017,ALL
1482,C1857586,0.60,1.00,NULL,2003,2012,ALL
1482,C2673630,0.60,1.00,NULL,2006,2006,ALL
1482,C3276096,0.80,1.00,NULL,1998,2017,ALL
1482,C3502353,0.70,1.00,strong,2008,2017,ALL
1490,C0034069,0.70,0.96,NULL,2001,2019,ALL
1493,C4015214,0.75,1.00,strong,2014,2019,ALL
1497,C0268626,0.71,1.00,NULL,1998,2017,ALL
1497,C2931013,0.70,1.00,NULL,1998,2017,ALL
1497,C2931187,1.00,0.98,NULL,1998,2019,ALL
1499,C0009402,0.70,0.98,NULL,1997,2020,ALL
1499,C0009404,0.70,0.99,NULL,1997,2019,ALL
1499,C0010276,0.70,1.00,NULL,2004,2019,ALL
1499,C0025149,0.80,0.98,NULL,1998,2020,ALL
1499,C0033578,0.60,1.00,NULL,2002,2020,ALL
1499,C0079218,0.70,0.97,NULL,1996,2019,ALL
1499,C0206624,0.70,0.98,NULL,1999,2019,ALL
1499,C0206711,0.80,1.00,NULL,1999,2019,ALL
1499,C0376358,0.60,0.98,NULL,1998,2020,ALL
1499,C0919267,0.90,1.00,NULL,1999,2019,ALL
1499,C1140680,0.90,1.00,NULL,1998,2019,ALL
1499,C2239176,0.80,0.98,strong,1998,2020,ALL
1499,C3554449,0.70,1.00,strong,1989,2017,ALL
1499,C4539767,0.60,1.00,strong,2017,2017,ALL
1509,C1864669,0.93,1.00,NULL,1995,2018,ALL
1513,C0238402,0.80,0.98,NULL,1996,2019,ALL
1535,C0020538,0.60,0.96,NULL,2002,2017,ALL
1535,C1856255,0.70,1.00,strong,1990,2016,ALL
1536,C0018203,0.90,0.99,limited,1987,2020,ALL
1536,C1844376,0.80,0.99,NULL,1976,2020,ALL
1536,C1970859,0.70,1.00,strong,2007,2011,ALL
1540,C1275122,0.80,1.00,NULL,2003,2019,ALL
1540,C1857941,0.80,0.94,definitive,2000,2019,ALL
1545,C1856439,0.70,1.00,NULL,1997,2016,ALL
1571,C0001973,0.60,1.00,NULL,1995,2018,ALL
1571,C0085762,0.74,1.00,NULL,1992,2013,ALL
1583,C3151055,0.72,1.00,strong,2001,2017,ALL
1584,C0268292,0.80,1.00,strong,1991,2019,ALL
1584,C1260386,0.80,1.00,strong,1992,2019,ALL
1585,C0268293,0.71,1.00,limited,1997,2014,ALL
1585,C3463917,0.61,1.00,limited,1992,2014,ALL
1586,C0001627,0.70,1.00,strong,1989,2019,ALL
1586,C0268285,0.80,0.98,strong,1988,2018,ALL
1588,C0014175,0.60,0.96,NULL,1996,2020,ALL
1588,C0032460,0.60,0.92,NULL,1993,2020,ALL
1588,C1960539,0.80,1.00,NULL,1993,2019,ALL
1588,C1970109,0.80,1.00,limited,1998,2019,ALL
1589,C2936858,0.80,0.98,NULL,1980,2020,ALL
1591,C4310232,0.70,1.00,strong,2011,2018,ALL
1593,C0238052,0.80,0.99,NULL,1975,2019,ALL
1594,C0035579,0.70,1.00,NULL,1998,2018,ALL
1594,C0268689,0.80,1.00,strong,1997,2020,ALL
1605,C0265221,0.70,0.96,NULL,1998,2017,ALL
1605,C3151184,0.91,1.00,NULL,2003,2019,ALL
1605,C4225291,0.60,1.00,NULL,2012,2015,ALL
1621,C0342687,0.71,1.00,strong,1995,2011,ALL
1621,C4746777,0.60,1.00,NULL,2002,2017,ALL
1630,C0009402,0.70,0.95,NULL,1990,2019,ALL
1630,C1834870,0.70,1.00,limited,2010,2017,ALL
1634,C1864738,0.95,1.00,strong,2005,2015,ALL
1636,C0002395,0.90,0.92,strong,1998,2020,ALL
1636,C0011881,0.60,0.91,NULL,1994,2019,ALL
1636,C0018801,0.60,0.98,NULL,1992,2020,ALL
1636,C0018802,0.60,0.98,NULL,1992,2020,ALL
1636,C0020538,0.60,0.92,NULL,1986,2020,ALL
1636,C0027051,0.60,0.92,NULL,1992,2020,ALL
1636,C0266313,0.76,1.00,strong,2005,2019,ALL
1641,C1848201,0.60,0.98,NULL,1998,2019,ALL
1641,C4551968,0.73,1.00,NULL,1998,2018,ALL
1644,C0030567,0.60,1.00,NULL,1988,2019,ALL
1644,C0342686,0.68,1.00,strong,2007,2019,ALL
1644,C1291564,0.98,1.00,NULL,2004,2019,ALL
1649,C0206634,0.60,0.96,NULL,1992,2019,ALL
1654,C4085582,0.70,1.00,NULL,2015,2015,ALL
1674,C0686353,0.60,1.00,strong,1999,2020,ALL
1674,C0878544,0.60,1.00,strong,1992,2019,ALL
1674,C1832370,1.00,1.00,definitive,1989,2019,ALL
1674,C1858154,0.90,1.00,NULL,1996,2018,ALL
1674,C1867005,0.70,1.00,NULL,2007,2018,ALL
1674,C2678065,0.70,1.00,NULL,1999,2019,ALL
1678,C0796074,0.80,0.96,definitive,1996,2019,ALL
1717,C0175694,1.00,0.99,definitive,1987,2018,ALL
1718,C1865596,0.79,1.00,NULL,2000,2019,ALL
1719,C3151205,0.72,1.00,NULL,2011,2019,ALL
1728,C0005684,0.60,0.95,NULL,1996,2017,ALL
1728,C0005695,0.60,0.95,NULL,1996,2017,ALL
1736,C0265965,0.90,0.97,strong,1998,2019,ALL
1736,C1148551,0.80,1.00,NULL,1998,2019,ALL
1738,C0268193,0.80,1.00,definitive,1981,2018,ALL
1756,C0007193,0.70,0.93,NULL,1993,2015,ALL
1756,C0013264,1.00,0.98,strong,1981,2020,ALL
1756,C0878544,0.70,0.96,NULL,1993,2020,ALL
1756,C0917713,0.80,0.97,strong,1984,2020,ALL
1756,C3668940,0.80,1.00,NULL,1992,2018,ALL
1757,C0268563,0.73,1.00,limited,1986,2016,ALL
1760,C0027125,0.60,1.00,limited,2013,2013,ALL
1760,C0027126,0.60,0.98,NULL,1992,2020,ALL
1760,C3250443,0.70,0.98,NULL,1992,2019,ALL
1773,C0024141,0.90,0.96,NULL,2000,2020,ALL
1785,C0175709,0.90,0.98,limited,2005,2019,ALL
1785,C1834558,0.70,0.96,definitive,2005,2019,ALL
1785,C1847902,0.71,1.00,NULL,2005,2017,ALL
1785,C3809272,0.71,1.00,strong,2005,2018,ALL
1785,C4551952,0.71,1.00,NULL,2005,2016,ALL
1786,C3279885,0.72,1.00,NULL,1998,2018,ALL
1786,C3807295,0.77,1.00,definitive,1998,2016,ALL
1788,C0023467,0.80,0.96,limited,2009,2019,ALL
1788,C4014545,0.78,1.00,strong,2014,2020,ALL
1789,C4551557,0.92,1.00,strong,1999,2016,ALL
1806,C0009404,0.60,0.95,NULL,1999,2016,ALL
1806,C1959620,0.80,0.94,strong,1988,2019,ALL
1811,C0267662,1.00,0.96,strong,1996,2019,ALL
1812,C0005586,0.60,1.00,NULL,1992,2015,ALL
1813,C0011570,0.60,1.00,NULL,2001,2016,ALL
1813,C0019337,0.60,1.00,NULL,2002,2019,ALL
1813,C0020514,0.60,0.92,NULL,2004,2020,ALL
1813,C0030567,0.60,0.93,NULL,1995,2020,ALL
1813,C0600427,0.80,1.00,NULL,1993,2019,ALL
1822,C0751781,0.70,1.00,limited,1995,2020,ALL
1828,C2931122,0.60,1.00,strong,2017,2017,ALL
1828,C3809719,0.80,1.00,NULL,2013,2020,ALL
1829,C1857777,0.70,1.00,strong,2006,2018,ALL
1829,C2752072,0.60,1.00,strong,2017,2018,ALL
1832,C1800706,0.66,1.00,NULL,2013,2019,ALL
1832,C1843292,0.72,1.00,strong,2002,2019,ALL
1832,C1843896,0.90,1.00,strong,1999,2019,ALL
1832,C1852127,0.60,1.00,strong,2011,2019,ALL
1832,C1854063,0.96,0.97,strong,1999,2019,ALL
1832,C1864826,0.74,1.00,strong,2005,2019,ALL
1832,C4014393,0.70,1.00,strong,2006,2019,ALL
1834,C0011436,0.70,1.00,definitive,1992,2019,ALL
1834,C0399378,0.71,1.00,NULL,1997,2017,ALL
1834,C0399380,0.77,1.00,NULL,1997,2017,ALL
1834,C1854146,0.70,1.00,NULL,1997,2017,ALL
1834,C2973527,0.77,1.00,NULL,1997,2019,ALL
1848,C3808981,0.70,1.00,limited,2013,2013,ALL
1859,C3279839,0.60,1.00,NULL,2012,2017,ALL
1861,C1851945,0.90,0.94,NULL,1994,2018,ALL
1861,C3888090,0.80,0.99,NULL,1994,2020,ALL
1890,C0872218,0.60,1.00,strong,2001,2019,ALL
1890,C4551995,0.70,1.00,NULL,1999,2015,ALL
1896,C0162359,0.80,0.99,NULL,1992,2019,ALL
1896,C1970757,0.70,1.00,NULL,2006,2016,ALL
1906,C0011860,0.60,1.00,NULL,1999,2019,ALL
1906,C0018801,0.60,0.97,NULL,1994,2020,ALL
1906,C0018802,0.60,0.98,NULL,1994,2020,ALL
1906,C0020538,0.60,0.98,NULL,1993,2020,ALL
1906,C0034069,0.60,1.00,NULL,1997,2019,ALL
1906,C1865295,0.62,1.00,moderate,2013,2017,ALL
1906,C4551996,0.61,1.00,moderate,2013,2018,ALL
1909,C0011860,0.60,1.00,NULL,2006,2018,ALL
1909,C0020538,0.60,1.00,NULL,1996,2019,ALL
1909,C4225349,0.91,1.00,strong,2010,2016,ALL
1910,C0019569,0.70,1.00,NULL,1966,2019,ALL
1910,C0085758,0.65,1.00,strong,1996,2015,ALL
1910,C1838099,0.61,1.00,NULL,1995,2015,ALL
1910,C1838564,0.60,1.00,strong,1994,2017,ALL
1910,C1848519,1.00,1.00,moderate,1994,2018,ALL
1917,C4225337,0.70,1.00,strong,1988,2018,ALL
1917,C4225343,0.60,1.00,NULL,2015,2015,ALL
1950,C2673648,0.60,1.00,NULL,2007,2007,ALL
1956,C0007131,0.70,0.98,NULL,1989,2020,ALL
1956,C0014859,0.60,1.00,NULL,1988,2019,ALL
1956,C0017636,0.70,0.98,NULL,1988,2020,ALL
1956,C0024121,0.60,0.98,NULL,1994,2019,ALL
1956,C0152013,0.70,0.98,NULL,1990,2020,ALL
1956,C0242379,0.60,0.98,NULL,1988,2020,ALL
1956,C0278996,0.60,0.97,NULL,1989,2019,ALL
1956,C0279626,0.70,1.00,NULL,1994,2020,ALL
1956,C0546837,0.60,1.00,NULL,1988,2020,ALL
1956,C4015130,0.70,1.00,strong,2014,2015,ALL
1959,C0011195,0.94,1.00,limited,1999,2019,ALL
1959,C1843247,0.71,1.00,NULL,1998,2012,ALL
1959,C4721436,0.80,1.00,NULL,1998,2012,ALL
1969,C1861825,0.90,1.00,strong,2006,2013,ALL
1981,C3280271,0.70,1.00,NULL,2011,2016,ALL
1991,C0221023,0.80,1.00,strong,1999,2019,ALL
1991,C1859966,0.70,1.00,strong,1999,2016,ALL
2006,C0003499,0.80,1.00,NULL,1993,2019,ALL
2006,C0010495,0.70,1.00,limited,1980,2020,ALL
2006,C0268350,0.67,1.00,NULL,1997,2018,ALL
2010,C0751337,0.80,1.00,NULL,1994,2019,ALL
2022,C0039445,1.00,0.99,definitive,1994,2019,ALL
2022,C0345893,0.63,1.00,limited,2005,2016,ALL
2022,C4551861,0.76,1.00,strong,1994,2018,ALL
2033,C0006142,0.70,1.00,NULL,2004,2020,ALL
2033,C0009402,0.64,1.00,NULL,1996,2017,ALL
2033,C0035934,0.60,0.97,limited,2005,2019,ALL
2033,C0678222,0.60,1.00,NULL,2004,2020,ALL
2034,C0007134,0.70,0.97,NULL,2001,2019,ALL
2034,C2673187,0.70,1.00,strong,2008,2012,ALL
2050,C4310629,0.70,1.00,strong,2016,2018,ALL
2050,C4748670,0.61,1.00,NULL,2017,2019,ALL
2052,C1843139,0.60,1.00,limited,2003,2015,ALL
2056,C4693552,0.60,1.00,limited,2016,2018,ALL
2064,C0006142,0.80,0.97,NULL,1987,2020,ALL
2064,C0024623,0.70,0.96,NULL,1988,2020,ALL
2064,C0027627,0.60,0.97,NULL,1989,2020,ALL
2064,C0038356,0.70,1.00,NULL,1989,2019,ALL
2064,C0678222,0.60,0.97,NULL,1987,2020,ALL
2064,C0699791,0.60,0.96,NULL,1988,2020,ALL
2064,C0919267,0.70,0.95,NULL,1989,2019,ALL
2064,C1140680,0.70,0.97,NULL,1989,2019,ALL
2065,C1843478,0.60,1.00,moderate,2003,2007,ALL
2066,C0025202,0.70,0.92,NULL,2009,2018,ALL
2066,C3715155,0.70,1.00,NULL,2013,2013,ALL
2067,C0242379,0.60,0.95,NULL,2005,2019,ALL
2067,C0684249,0.60,0.95,NULL,2005,2019,ALL
2067,C1853100,0.70,1.00,NULL,2007,2013,ALL
2068,C0005684,0.60,1.00,NULL,2001,2016,ALL
2068,C0005695,0.60,1.00,NULL,2001,2016,ALL
2068,C0007137,0.70,1.00,NULL,2002,2018,ALL
2068,C0268138,1.00,0.94,definitive,1977,2017,ALL
2068,C1853102,0.70,1.00,NULL,1997,2001,ALL
2068,C1866504,0.70,1.00,NULL,1977,2001,ALL
2068,C1955934,0.90,0.99,strong,1992,2020,ALL
2071,C0268136,1.00,1.00,definitive,1990,2019,ALL
2071,C1955934,0.60,1.00,strong,1995,2019,ALL
2071,C4225344,0.70,1.00,limited,1997,1997,ALL
2072,C0015625,0.60,0.92,strong,2007,2018,ALL
2072,C0268140,1.00,1.00,definitive,1988,2019,ALL
2072,C1970416,0.72,1.00,NULL,1988,2013,ALL
2072,C3808988,0.70,1.00,NULL,1988,2016,ALL
2073,C0268141,1.00,1.00,definitive,1975,2016,ALL
2073,C1851443,0.60,1.00,NULL,1997,2014,ALL
2074,C0009207,0.90,0.99,strong,1982,2020,ALL
2074,C0220722,0.74,1.00,NULL,1981,2017,ALL
2074,C0265201,0.60,1.00,NULL,1981,2018,ALL
2074,C0751038,0.80,1.00,NULL,1981,2019,ALL
2074,C1833561,0.65,1.00,strong,1982,2018,ALL
2074,C4310783,0.60,1.00,NULL,2015,2015,ALL
2099,C0006142,1.00,0.97,NULL,1983,2020,ALL
2099,C0028754,0.60,0.98,NULL,2001,2020,ALL
2099,C0476089,0.60,0.97,NULL,1991,2020,ALL
2099,C0678222,0.70,0.97,NULL,1981,2020,ALL
2099,C0919267,0.60,0.95,NULL,1995,2019,ALL
2099,C1140680,0.60,0.95,NULL,1990,2019,ALL
2099,C3809250,0.79,1.00,NULL,1994,2018,ALL
2100,C0006142,0.60,0.97,NULL,1996,2020,ALL
2103,C1837857,0.70,1.00,strong,1997,2008,ALL
2108,C0268596,0.79,1.00,definitive,1991,2019,ALL
2113,C0024141,0.70,0.96,NULL,2000,2019,ALL
2120,C0023467,0.80,0.98,strong,1995,2019,ALL
2120,C0040034,0.69,1.00,strong,2015,2019,ALL
2120,C4015537,0.70,1.00,strong,2015,2017,ALL
2122,C4225221,0.60,1.00,strong,2015,2018,ALL
2130,C0553580,0.70,0.97,NULL,1993,2020,ALL
2131,C0008479,0.80,0.95,NULL,1995,2018,ALL
2131,C0015306,1.00,0.98,definitive,1989,2019,ALL
2131,C0023003,0.60,1.00,strong,1995,2018,ALL
2132,C0015306,0.70,0.98,NULL,1994,2019,ALL
2132,C1851413,0.70,1.00,definitive,1995,2018,ALL
2132,C4225248,0.70,1.00,NULL,2002,2019,ALL
2138,C0265234,0.80,0.98,definitive,1996,2018,ALL
2138,C1833691,0.62,1.00,strong,1998,2006,ALL
2138,C1865143,0.71,1.00,NULL,1998,2018,ALL
2138,C4551702,0.71,1.00,NULL,1997,2018,ALL
2146,C0024301,0.60,1.00,NULL,2010,2020,ALL
2146,C0079744,0.70,1.00,NULL,2010,2020,ALL
2146,C0265210,0.80,1.00,NULL,2011,2019,ALL
2147,C0012739,0.60,0.94,NULL,1991,2019,ALL
2147,C0020640,0.80,0.96,strong,1983,2019,ALL
2147,C0398623,0.60,0.96,NULL,1992,2019,ALL
2147,C4722227,0.60,0.93,strong,1983,2019,ALL
2152,C0012739,0.60,0.96,NULL,1994,2019,ALL
2153,C0015499,0.78,1.00,strong,1994,2019,ALL
2153,C0019154,0.60,1.00,NULL,1996,2018,ALL
2153,C0856761,0.70,1.00,NULL,1996,2018,ALL
2153,C1861171,0.73,1.00,definitive,1988,2018,ALL
2155,C0015503,0.74,1.00,definitive,1988,2019,ALL
2157,C0019069,1.00,0.98,definitive,1977,2020,ALL
2158,C0008533,1.00,0.98,definitive,1976,2020,ALL
2158,C2749016,0.70,1.00,strong,1989,2018,ALL
2159,C0015519,0.80,1.00,definitive,1981,2019,ALL
2160,C0015523,1.00,1.00,strong,1981,2019,ALL
2161,C0015526,0.97,1.00,definitive,1979,2019,ALL
2161,C0019243,0.70,0.95,strong,1984,2019,ALL
2161,C1857728,0.74,1.00,moderate,1987,2019,ALL
2162,C0015530,0.98,1.00,strong,1992,2019,ALL
2162,C2750514,0.70,1.00,strong,1992,2017,ALL
2175,C0015625,0.70,0.98,strong,1991,2020,ALL
2175,C0023418,0.60,1.00,strong,2017,2017,ALL
2175,C3469521,1.00,0.99,definitive,1996,2020,ALL
2176,C0015625,0.70,1.00,strong,1992,2019,ALL
2176,C0023418,0.61,1.00,strong,2008,2016,ALL
2176,C3468041,0.95,1.00,definitive,1992,2018,ALL
2177,C0015625,0.70,0.97,strong,1998,2020,ALL
2177,C0023418,0.62,1.00,strong,2005,2017,ALL
2177,C3160738,1.00,1.00,NULL,2001,2019,ALL
2184,C0268490,1.00,0.99,definitive,1981,2019,ALL
2187,C1845292,0.60,1.00,NULL,2004,2016,ALL
2187,C1848599,0.62,1.00,strong,2004,2016,ALL
2200,C0013581,0.70,1.00,NULL,1994,2020,ALL
2200,C0024796,1.00,0.99,definitive,1973,2020,ALL
2200,C0265287,0.79,1.00,strong,1995,2018,ALL
2200,C0265313,0.90,1.00,limited,1996,2018,ALL
2200,C1858556,0.65,1.00,NULL,1992,2019,ALL
2200,C1861456,0.73,1.00,strong,1995,2015,ALL
2200,C1869115,0.91,1.00,NULL,1992,2014,ALL
2200,C3280054,0.61,1.00,strong,1995,2016,ALL
2200,C3489726,0.70,1.00,NULL,2011,2019,ALL
2200,C3541518,0.70,1.00,strong,1992,2010,ALL
2200,C4310796,0.71,1.00,NULL,1992,2016,ALL
2200,C4707243,0.60,1.00,definitive,1973,2019,ALL
2201,C0220668,1.00,0.98,strong,1973,2019,ALL
2202,C1832174,1.00,0.95,limited,1999,2018,ALL
2213,C0024141,0.90,0.98,NULL,1995,2019,ALL
2214,C3810342,0.60,1.00,moderate,1996,2012,ALL
2232,C4521678,0.70,1.00,strong,2017,2017,ALL
